0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
"Station
code",Station Name,"Type of
Water Body",State Name,"Temperature
(°C)",,,"Dissolved
Oxygen
(mg/L)",,,pH,,"Conductivity
(µmhos/cm)",,"BOD
(mg/L)",,,"Nitrate N +
Nitrite N
(mg/L)",,,"Fecal Coliform
(MPN/100 ML)",,"Total Coliform
(MPN/100 ML)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Min Max,,Min Max,,,,Min Max,,Min Max,,Min Max,,Min Max,,,,Min Max,,Min Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2354,"SAMARLA KOTA CANAL,
KAKINADA, EAST
GODAVARI",CANAL,"ANDHRA
PRADESH",24,30,2.6,,5.5,,6.8,8.6,203,525,1.2,3.4,0.57,,2.70,,7,15,75,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2355,"TULJE BAGH CANAL, TEKRI
DRAIN, KAKINADA, EAST
GODAVARI",CANAL,"ANDHRA
PRADESH",24,31,1.5,,5.0,,6.6,8.2,456,26393,1.9,5.8,1.15,,3.40,,7,28,150,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3051,"BUDAMERU CANAL NR
BDG AT NH-5,
KEESARAPALLY, KRISHNA",CANAL,"ANDHRA
PRADESH",24,28,5.0,,6.4,,7.0,7.8,905,2179,2.6,8.4,1.28,,5.20,,3,4,210,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4356,"ELERU CANAL NEAR
PHARMA CITY",CANAL,"ANDHRA
PRADESH",25,32,5.6,,7.5,,7.6,8.4,249,634,1.1,2.5,0.63,,2.09,,7,20,69,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4370,"KRISHNA CANAL AT
HANUMAN NAGAR, NEAR
SAIBABA TEMPLE, ELIRU",CANAL,"ANDHRA
PRADESH",26,27,4.2,,7.0,,7.0,7.9,363,849,0.8,2.8,0.70,,3.36,,2,21,75,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4374,"GOSTTA NADI- VELPURU
CANAL AT HANUMAN
TEMPLE, DOWNSTREAM
OF TANUKU TOWN, ATTILI
(M)",CANAL,"ANDHRA
PRADESH",25,27,4.0,,7.3,,6.6,8.1,268,5000,1.2,3.8,0.55,,4.81,,4,15,120,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479,"WESTERN YAMUNA CANAL
AT HAIDERPUR WATER
WORKS, DELHI",CANAL,DELHI,,,10.2,,10.2,,7.6,7.8,239,293,1.1,5.2,0.91,,5.12,,2400,35000,9200,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2057,"AGRA CANAL, MADANPUR
KHADAR, DELHI",CANAL,DELHI,16,32,BDL,,2.4,,7.0,7.3,565,1450,10.0,58.0,0.20,,0.50,,1100000,16000000,2200000,16000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2265,"CANAL UP STREAM OF
CUNCOLIM INDL.EST.
CUNCOLIM, SALCETE (1 KM
FROM M/S NICOMENT
INDUSTRIES)",CANAL,GOA,27,30,5.2,,8.1,,5.8,7.4,47,641,BDL,2.4,BDL,,1.37,,78,1100,130,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2266,"CANAL DOWNSTREAM OF
CUNCOLIM INDL.EST.
CUNCOLIM, SALCETE
(NEAR RAILWAY BRIDGE)",CANAL,GOA,27,30,4.9,,8.8,,5.8,7.8,52,605,BDL,2.7,BDL,,1.37,,130,1700,490,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
